Year,Month,Day,Time,ARRESTAGENCY,Charge_Desc,MINUCRCODE,MINCHARGECODE,MAIN_CRIMECODE,GDISTRICT,BRICArrestCode,GREPORTING,,,,,,,,,,,,
2017,1,1,06:00.0,Boston Police Department,"Assault & Battery, Dangerous Weapon (209A)",0403,12315,,A1,04xx,075,,,,,,,,,,,,
2017,1,1,18:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,E13,08xx,652,,,,,,,,,,,,
2017,1,1,53:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,B3,08xx,422,,,,,,,,,,,,
2017,1,1,48:00.0,Boston Police Department,"Assault & Battery, Dangerous Weapon (209A)",0403,12315,,B3,04xx,468,,,,,,,,,,,,
2017,1,1,55:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,C11,08xx,337,,,,,,,,,,,,
2017,1,1,19:00.0,Boston Police Department,Assault & Battery (209A) Felony Section,0404,12711,,C11,04xx,332,,,,,,,,,,,,
2017,1,1,04:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,C11,08xx,337,,,,,,,,,,,,
2017,1,1,22:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,C11,08xx,398,,,,,,,,,,,,
2017,1,1,42:00.0,Boston Police Department,Assault & Battery (209A) Felony Section,0404,12711,,D14,04xx,778,,,,,,,,,,,,
2017,1,2,48:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,C11,08xx,345,,,,,,,,,,,,
2017,1,2,01:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,B3,08xx,420,,,,,,,,,,,,
2017,1,2,32:00.0,Boston Police Department,"Assault & Battery, Dangerous Weapon (209A)",0403,12315,,B3,04xx,438,,,,,,,,,,,,
2017,1,2,28:00.0,Boston Police Department,Assault & Battery (209A) Felony Section,0404,12711,,B3,04xx,469,,,,,,,,,,,,
2017,1,3,02:00.0,Boston Police Department,Violation of an Existing Restraining Order,0403,12312,,C11,04xx,356,,,,,,,,,,,,
2017,1,3,00:00.0,Boston Police Department,Violation of an Existing Restraining Order,3125,12312,,E18,Arrest,525,,,,,,,,,,,,
2017,1,3,32:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,B2,08xx,316,,,,,,,,,,,,
2017,1,3,48:00.0,Boston Police Department,Violation of an Existing Restraining Order,3125,12312,,E18,Arrest,523,,,,,,,,,,,,
2017,1,4,07:00.0,Boston Police Department,Assault & Battery (209A) Felony Section,0404,12711,,C6,04xx,,,,,,,,,,,,,
2017,1,4,10:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,B3,08xx,427,,,,,,,,,,,,
2017,1,4,16:00.0,Boston Police Department,Violation of an Existing Restraining Order,3125,12312,,A1,Arrest,117,,,,,,,,,,,,
2017,1,4,02:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,B3,08xx,438,,,,,,,,,,,,
2017,1,5,26:00.0,Boston Police Department,Violation of an Existing Restraining Order,1849,12312,DARR,A1,18xx,116,,,,,,,,,,,,
2017,1,5,54:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,C6,08xx,194,,,,,,,,,,,,
2017,1,5,42:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,E13,08xx,572,,,,,,,,,,,,
2017,1,6,43:00.0,Boston Police Department,Assault & Battery (209A) Felony Section,0404,12711,,C11,04xx,341,,,,,,,,,,,,
2017,1,6,05:00.0,Boston Police Department,Violation of an Existing Restraining Order,3125,12312,,B2,Arrest,181,,,,,,,,,,,,
2017,1,7,41:00.0,Boston Police Department,"Assault & Battery, Dangerous Weapon (209A)",0403,12315,,B2,04xx,911,,,,,,,,,,,,
2017,1,7,10:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,E18,08xx,481,,,,,,,,,,,,
2017,1,7,58:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,C11,08xx,,,,,,,,,,,,,
2017,1,7,56:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,B2,08xx,330,,,,,,,,,,,,
2017,1,7,27:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,B2,08xx,329,,,,,,,,,,,,
2017,1,8,42:00.0,Boston Police Department,Assault & Battery (209A) Felony Section,0404,12711,,A1,04xx,103,,,,,,,,,,,,
2017,1,8,22:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,B2,08xx,325,,,,,,,,,,,,
2017,1,9,53:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,B3,08xx,944,,,,,,,,,,,,
2017,1,9,52:00.0,Boston Police Department,Violation of an Existing Restraining Order,3125,12312,,D4,Arrest,627,,,,,,,,,,,,
2017,1,10,58:00.0,Boston Police Department,Violation of an Existing Restraining Order,3125,12312,,B2,Arrest,319,,,,,,,,,,,,
2017,1,10,20:00.0,Boston Police Department,Violation of an Existing Restraining Order,3125,12312,,B2,Arrest,181,,,,,,,,,,,,
2017,1,10,30:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,D4,08xx,628,,,,,,,,,,,,
2017,1,10,04:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,C11,08xx,350,,,,,,,,,,,,
2017,1,10,52:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,E5,08xx,,,,,,,,,,,,,
2017,1,10,39:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,D4,08xx,905,,,,,,,,,,,,
2017,1,11,46:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,B3,08xx,453,,,,,,,,,,,,
2017,1,11,44:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,B2,08xx,,,,,,,,,,,,,
2017,1,11,56:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,A7,08xx,024,,,,,,,,,,,,
2017,1,12,34:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,E18,08xx,538,,,,,,,,,,,,
2017,1,12,01:00.0,Boston Police Department,Assault & Battery (209A),0521,12314,,D4,05RB,150,,,,,,,,,,,,
2017,1,12,15:00.0,Boston Police Department,Violation of an Existing Restraining Order,3125,12312,,A7,Arrest,027,,,,,,,,,,,,
2017,1,12,00:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,B3,08xx,420,,,,,,,,,,,,
2017,1,13,16:00.0,Boston Police Department,Assault & Battery (209A),0639,12314,,B3,06xx,425,,,,,,,,,,,,
2017,1,13,09:00.0,Boston Police Department,Assault & Battery (209A),0403,12314,,B3,04xx,469,,,,,,,,,,,,
2017,1,13,09:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,B2,08xx,292,,,,,,,,,,,,
2017,1,13,24:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,B3,08xx,465,,,,,,,,,,,,
2017,1,13,42:00.0,Boston Police Department,Assault & Battery (209A),0404,12314,,C11,04xx,367,,,,,,,,,,,,
2017,1,14,13:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,A15,08xx,900,,,,,,,,,,,,
2017,1,14,42:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,A1,08xx,120,,,,,,,,,,,,
2017,1,14,16:00.0,Boston Police Department,Assault & Battery (209A) Felony Section,0404,12711,,C11,04xx,346,,,,,,,,,,,,
2017,1,14,54:00.0,Boston Police Department,Assault & Battery (209A) Felony Section,0404,12711,,A1,04xx,117,,,,,,,,,,,,
2017,1,15,55:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,C11,08xx,355,,,,,,,,,,,,
2017,1,15,35:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,B3,08xx,428,,,,,,,,,,,,
2017,1,15,39:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,C11,08xx,817,,,,,,,,,,,,
2017,1,15,33:00.0,Boston Police Department,Violation of an Existing Restraining Order,3125,12312,,B3,Arrest,465,,,,,,,,,,,,
2017,1,16,28:00.0,Boston Police Department,Assault & Battery (209A) Felony Section,0404,12711,,D4,04xx,270,,,,,,,,,,,,
2017,1,16,51:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,C11,08xx,333,,,,,,,,,,,,
2017,1,16,04:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,B2,08xx,304,,,,,,,,,,,,
2017,1,16,49:00.0,Boston Police Department,Assault & Battery (209A) Felony Section,0404,12711,,C6,04xx,,,,,,,,,,,,,
2017,1,16,16:00.0,Boston Police Department,Violation of an Existing Restraining Order,3125,12312,,B2,Arrest,319,,,,,,,,,,,,
2017,1,16,49:00.0,Boston Police Department,Assault & Battery (209A) Felony Section,0404,12711,,C6,04xx,,,,,,,,,,,,,
